index,Original,Đạt,Tấn,Phát,Kỳ
0,"Mới mua máy này Tại thegioididong thốt nốt cảm thấy ok bin trâu chụp ảnh đẹp loa nghe to bắt wf khỏe sóng ổn định, giá thành vừa với túi tiền, nhân viên tư vấn nhiệt tình","Mới mua máy này tại thegioididong Thốt Nốt, cảm thấy ok, pin trâu, chụp ảnh đẹp, loa nghe to, bắt wifi khỏe, sóng ổn định, giá thành vừa với túi tiền, nhân viên tư vấn nhiệt tình.","Mới mua máy này tại Thế giới di động thốt nốt cảm thấy được. Pin dùng được lâu, chụp ảnh đẹp, loa nghe to, bắt Wi-Fi tốt, sóng ổn định, giá thành vừa với túi tiền, nhân viên tư vấn nhiệt tình","Mới mua máy này tại Thế giới di động Thốt Nốt. Cảm thấy ok. Pin trâu, chụp ảnh đẹp, loa nghe to, bắt wifi khỏe, sóng ổn định, giá thành vừa với túi tiền, nhân viên tư vấn nhiệt tình","Mới mua máy này Tại thegioididong thốt nốt cảm thấy ok bin trâu chụp ảnh đẹp loa nghe to bắt wf khỏe sóng ổn định, giá thành vừa với túi tiền, nhân viên tư vấn nhiệt tình"
1,Pin kém còn lại miễn chê mua 8/3/2019 tình trạng pin còn 88% có ai giống tôi không,"Pin kém còn lại miễn chê, mua 8/3/2019 tình trạng pin còn 88% có ai giống tôi không?","Pin kém, còn lại miễn chê. Mua 8/3/2019 tình trạng pin còn 88%, có ai giống tôi không?",Pin kém còn lại miễn chê. Mua 8/3/2019 tình trạng pin còn 88% có ai giống tôi không,Pin kém còn lại miễn chê mua 8/3/2019 tình trạng pin còn 88% có ai giống tôi không
2,Sao lúc gọi điện thoại màn hình bị chấm nhỏ nháy gần camera trước vậy(lúc có lúc không),Sao lúc gọi điện thoại màn hình bị chấm nhỏ nháy gần camera trước vậy (lúc có lúc không)?,Sao lúc gọi điện thoại màn hình bị chấm nhỏ nháy gần camera trước vậy (lúc có lúc không)?,Sao lúc gọi điện thoại màn hình bị chấm nhỏ nháy gần camera trước vậy (lúc có lúc không),Sao lúc gọi điện thoại màn hình bị chấm nhỏ nháy gần camera trước vậy(lúc có lúc không)
3,"Mọi người cập nhật phần mềm lại , nó sẽ bớt tốn pin, mình đã thử rồi, mọi thứ cũng ok, nhưng vân tay ko nhạy","Mọi người cập nhật phần mềm lại , nó sẽ bớt tốn pin, mình đã thử rồi, mọi thứ cũng ok, nhưng vân tay ko nhạy","Mọi người cập nhật phần mềm lại, nó sẽ bớt tốn pin, mình đã thử rồi, mọi thứ cũng được, nhưng vân tay không nhạy","Mọi người cập nhật phần mềm lại, nó sẽ bớt tốn pin, mình đã thử rồi, mọi thứ cũng ok, nhưng vân tay không nhạy","Mọi người cập nhật phần mềm lại , nó sẽ bớt tốn pin, mình đã thử rồi, mọi thứ cũng ok, nhưng vân tay ko nhạy"
4,"Mới mua Sài được 1 tháng thấy pin rất trâu, Sài bao mượt . Nhưng có 1 lỗi nhỏ là mình nghe nhạc bằng tai nghe nghe hơi lâu ko biết sao nó ko nghe được nữa.. mất rút tai nghe ra cắm vào lại thì nó mới nghe được...","Mới mua sài được 1 tháng thấy pin rất trâu, Sài bao mượt . Nhưng có 1 lỗi nhỏ là mình nghe nhạc bằng tai nghe nghe hơi lâu ko biết sao nó ko nghe được nữa.. mất rút tai nghe ra cắm vào lại thì nó mới nghe được...","Mới mua xài được 1 tháng thấy pin dùng được rất lâu, xài rất mượt. Nhưng có 1 lỗi nhỏ là mình nghe nhạc bằng tai nghe nghe hơi lâu không biết sao nó không nghe được nữa, phải rút tai nghe ra cắm vào lại thì nó mới nghe được.","Mới mua xài được 1 tháng thấy pin rất trâu, xài bao mượt. Nhưng có 1 lỗi nhỏ là mình nghe nhạc bằng tai nghe nghe hơi lâu không biết sao nó không nghe được nữa. Mất rút tai nghe ra cắm vào lại thì nó mới nghe được...","Mới mua Sài được 1 tháng thấy pin rất trâu, Sài bao mượt . Nhưng có 1 lỗi nhỏ là mình nghe nhạc bằng tai nghe nghe hơi lâu ko biết sao nó ko nghe được nữa.. mất rút tai nghe ra cắm vào lại thì nó mới nghe được..."
5,"Xài tốt, rất mượt, pin trâu nếu các bạn để độ sáng vừa đủ, nhân viên nhiệt tình, vui vẻ, nói chung là tầm giá này thì máy này là quá tốt rồi","Xài tốt, rất mượt, pin trâu nếu các bạn để độ sáng vừa đủ, nhân viên nhiệt tình, vui vẻ, nói chung là tầm giá này thì máy này là quá tốt rồi","Xài tốt, rất mượt, pin dùng được lâu nếu các bạn để độ sáng vừa đủ, nhân viên nhiệt tình, vui vẻ, nói chung là tầm giá này thì máy này là quá tốt rồi.","Xài tốt, rất mượt, pin trâu nếu các bạn để độ sáng vừa đủ, nhân viên nhiệt tình, vui vẻ, nói chung là tầm giá này thì máy này là quá tốt rồi","Xài tốt, rất mượt, pin trâu nếu các bạn để độ sáng vừa đủ, nhân viên nhiệt tình, vui vẻ, nói chung là tầm giá này thì máy này là quá tốt rồi"
6,Mình mới xài được 7 tháng xuống 7% pin. Chả hiểu máy mới kiểu gì nữa. Dùng cơ bản lướt web cơ bản game ko chơi,"Mình mới xài được 7 tháng xuống 7% pin. Chả hiểu máy mới kiểu gì nữa. Dùng cơ bản, lướt web cơ bản, game ko chơi","Mình mới xài được 7 tháng xuống 7% pin. Chả hiểu máy mới kiểu gì nữa. Dùng cơ bản, lướt web cơ bản, game không chơi","Mình mới xài được 7 tháng xuống 7% pin. Chả hiểu máy mới kiểu gì nữa. Dùng cơ bản, lướt web cơ bản, game không chơi",Mình mới xài được 7 tháng xuống 7% pin. Chả hiểu máy mới kiểu gì nữa. Dùng cơ bản lướt web cơ bản game không chơi
7,"Hôm qua ngày 23/6/2020 e ra thế giới di động  mua chiếc dthoai galaxy A51 ,. Lúc đầu bên cửa hàng báo giá 7.790.00đ  được tặng phiếu mua hàng 250k, lúc thanh toán thì nhân viên lại thanh toán 7.990.000đ không có phiếu mua hàng , đi 20km xuống mua thoai ,tối về đến nhà  nhân viên mới gọi đến có xin lỗi vì sai xót và bảo mình xuống đó nhận phiếu mua hàng 250k.... chán quá, đúng là làm mất thời gian ..","Hôm qua ngày 23/6/2020 em ra thế giới di động mua chiếc điện thoại galaxy A51. Lúc đầu bên cửa hàng báo giá 7.790.00đ  được tặng phiếu mua hàng 250k, lúc thanh toán thì nhân viên lại thanh toán 7.990.000đ không có phiếu mua hàng, đi 20km xuống mua thôi, tối về đến nhà nhân viên mới gọi đến có xin lỗi vì sai xót và bảo mình xuống đó nhận phiếu mua hàng 250k... chán quá, đúng là làm mất thời gian...","Hôm qua ngày 23/6/2020 em ra Thế giới di động mua chiếc điện thoại Galaxy A51. Lúc đầu bên cửa hàng báo giá 7.790.000đ được tặng phiếu mua hàng 250k, lúc thanh toán thì nhân viên lại thanh toán 7.990.000đ không có phiếu mua hàng, đi 20km xuống mua điện thoại, tối về đến nhà nhân viên mới gọi đến có xin lỗi vì sai sót và bảo mình xuống đó nhận phiếu mua hàng 250k. Chán quá, đúng là làm mất thời gian.","Hôm qua ngày 23/6/2020 em ra Thế giới di động mua chiếc điện thoại Galaxy A51. Lúc đầu bên cửa hàng báo giá 7.790.000đ được tặng phiếu mua hàng 250k, lúc thanh toán thì nhân viên lại thanh toán 7.990.000đ không có phiếu mua hàng, đi 20km xuống mua điện thoại, tối về đến nhà nhân viên mới gọi đến có xin lỗi vì sai sót và bảo mình xuống đó nhận phiếu mua hàng 250k... Chán quá, đúng là làm mất thời gian.","Hôm qua ngày 23/6/2020 em ra thế giới di động mua chiếc điện thoại galaxy A51 ,. Lúc đầu bên cửa hàng báo giá 7.790.00đ  được tặng phiếu mua hàng 250k, lúc thanh toán thì nhân viên lại thanh toán 7.990.000đ không có phiếu mua hàng , đi 20km xuống mua thôi ,tối về đến nhà nhân viên mới gọi đến có xin lỗi vì sai xót và bảo mình xuống đó nhận phiếu mua hàng 250k.... chán quá, đúng là làm mất thời gian .."
8,"Tại sao điện thoại mới mà sạc nó nóng máy lên quá trời.  T đã tắt tất cả mạng, ứng dung, game và cấm ko cho chạy nền, cũng ko vừa sạc vừa dùng mà điện thoại nóng quá trời. Sạc 3 tiếng mới đầy","Tại sao điện thoại mới mà sạc nó nóng máy lên quá trời. Tôi đã tắt tất cả mạng, ứng dụng, game và cấm không cho chạy nền, cũng không vừa sạc vừa dùng mà điện thoại nóng quá trời. Sạc 3 tiếng mới đầy","Tại sao điện thoại mới mà sạc nó nóng máy lên quá trời. Tôi đã tắt tất cả mạng, ứng dụng, game và cấm không cho chạy nền, cũng không vừa sạc vừa dùng mà điện thoại nóng quá trời. Sạc 3 tiếng mới đầy","Tại sao điện thoại mới mà sạc nó nóng máy lên quá trời. Tôi đã tắt tất cả mạng, ứng dung, game và cấm không cho chạy nền, cũng không vừa sạc vừa dùng mà điện thoại nóng quá trời. Sạc 3 tiếng mới đầy","Tại sao điện thoại mới mà sạc nó nóng máy lên quá trời.  Tôi đã tắt tất cả mạng, ứng dụng, game và cấm không cho chạy nền, cũng không vừa sạc vừa dùng mà điện thoại nóng quá trời. Sạc 3 tiếng mới đầy"
9,"Lúc đầu định mua samsung vào shop nhân viên tư vấn oppo a9. Thất vọng thực sự khi dùng oppo. Màn hình hiển thị tối om. Máy chơi game giật lang khó chịu vl. Sạc thì lâu, k bao giờ dungg oppo nữa.","Lúc đầu định mua samsung vào shop nhân viên tư vấn oppo a9. Thất vọng thực sự khi dùng oppo. Màn hình hiển thị tối om. Máy chơi game giật lag khó chịu vl. Sạc thì lâu, không bao giờ dùng oppo nữa.","Lúc đầu định mua Samsung vào shop nhân viên tư vấn Oppo A9. Thất vọng thực sự khi dùng Oppo. Màn hình hiển thị tối om. Máy chơi game giật lag khó chịu vô cùng. Sạc thì lâu, không bao giờ dùng Oppo nữa.","Lúc đầu định mua Samsung vào cửa hàng nhân viên tư vấn Oppo A9. Thất vọng thực sự khi dùng Oppo. Màn hình hiển thị tối om. Máy chơi game giật lag khó chịu vl. Sạc thì lâu, không bao giờ dùng Oppo nữa.","Lúc đầu định mua samsung vào shop nhân viên tư vấn oppo a9. Thất vọng thực sự khi dùng oppo. Màn hình hiển thị tối om. Máy chơi game giật lag khó chịu vl. Sạc thì lâu, không bao giờ đụng oppo nữa."
