index,Original,Đạt,Tấn,Phát,Kỳ
1947,"Máy đẹp,pin trâu loa nghe nhạc to và hay,màn hình to đẹp cầm máy cũng rất thích nhưng độ sáng màn hình hơi tối khi bật hết cỡ và trong hộp không có tai nghe 3.5mn","Máy đẹp, pin trâu, loa nghe nhạc to và hay, màn hình to đẹp, cầm máy cũng rất thích nhưng độ sáng màn hình hơi tối khi bật hết cỡ và trong hộp không có tai nghe 3.5mn","Máy đẹp, pin dùng được lâu, loa nghe nhạc to và hay, màn hình to, đẹp, cầm máy cũng rất thích, nhưng độ sáng màn hình hơi tối khi bật hết cỡ, và trong hộp không có tai nghe 3.5mm","Máy đẹp; pin trâu, loa nghe nhạc to và hay, màn hình to, đẹp, cầm máy cũng rất thích nhưng độ sáng màn hình hơi tối khi bật hết cỡ và trong hộp không có tai nghe 3.5mn","Máy đẹp,pin trâu loa nghe nhạc to và hay,màn hình to đẹp cầm máy cũng rất thích nhưng độ sáng màn hình hơi tối khi bật hết cỡ và trong hộp không có tai nghe 3.5mn"
1948,"Điện thoại mang tiếng cấu hình cao mà chậm bằng mấy lần con ip 6 cùi bắp. Mạng mẽo thì méo vào được.
Nói chung chỉ được cái quảng cáo hay","Điện thoại mang tiếng cấu hình cao mà chậm bằng mấy lần con iphone 6 cùi bắp. Mạng mẽo thì méo vào được.
Nói chung chỉ được cái quảng cáo hay","Điện thoại mang tiếng cấu hình cao mà chậm bằng mấy lần con Iphone 6 hiệu năng yếu. Mạng thì không vào được.
Nói chung chỉ được quảng cáo hay","Điện thoại mang tiếng cấu hình cao mà chậm bằng mấy lần con iPhone 6 cùi bắp. Mạng mẽo thì méo vào được.
Nói chung chỉ được cái quảng cáo hay","Điện thoại mang tiếng cấu hình cao mà chậm bằng mấy lần con Iphone 6 cùi bắp. Mạng mẽo thì méo vào được.
Nói chung chỉ được cái quảng cáo hay"
1949,"Giá rẽ,pin trâu,sóng mạnh,chử rất to phù hợp với người lớn tuổi.loa to nhưng loa trong và ngoài chung nên nói chuyện ai củng nghe dù bật loa trong. Đèn pin thì to siêu sáng luôn. Nhân viên dmx buôn trấp_ daklak rất nhiệt tình vui vẽ. Rất hài lòng khi mua sớm tại dmx.","Giá rẻ, pin trâu, sóng mạnh, chữ rất to phù hợp với người lớn tuổi. Loa to nhưng loa trong và ngoài chung nên nói chuyện ai cũng nghe dù bật loa trong. Đèn pin thì to siêu sáng luôn. Nhân viên dienmayxanh Buôn Trấp, Đắk Lắk rất nhiệt tình vui vẻ. Rất hài lòng khi mua sớm tại dienmayxanh.","Giá rẻ, pin dùng được lâu, sóng mạnh, chữ rất to phù hợp với người lớn tuổi. Loa to nhưng loa trong và ngoài chung nên nói chuyện ai cũng nghe dù bật loa trong. Đèn pin thì to, rất sáng luôn. Nhân viên Điện máy xanh Buôn Trấp, Đắk Lắk rất nhiệt tình vui vẻ. Rất hài lòng khi mua sớm tại Điện máy xanh.","Giá rẻ, pin trâu, sóng mạnh, chữ rất to phù hợp với người lớn tuổi. Loa to nhưng loa trong và ngoài chung nên nói chuyện ai cũng nghe dù bật loa trong. Đèn pin thì to siêu sáng luôn. Nhân viên Điện Máy Xanh Buôn Trấp Đắk Lắk rất nhiệt tình vui vẻ. Rất hài lòng khi mua sớm tại Điện Máy Xanh.","Giá rẽ,pin trâu,sóng mạnh,chử rất to phù hợp với người lớn tuổi.loa to nhưng loa trong và ngoài chung nên nói chuyện ai củng nghe dù bật loa trong. Đèn pin thì to siêu sáng luôn. Nhân viên Điện Máy Xanh buồn trấp Đắk Lắk rất nhiệt tình vui vẽ. Rất hài lòng khi mua sớm tại Điện Máy Xanh."
1950,"Chụp đẹp , k còn gì phải chê , nói chung tốt trong tầm giá. Ngoài ra pin còn trâu và game mượt hết chỗ chê .","Chụp đẹp, không còn gì phải chê, nói chung tốt trong tầm giá. Ngoài ra pin còn trâu và game mượt hết chỗ chê .","Chụp đẹp, không còn gì phải chê, nói chung tốt trong tầm giá. Ngoài ra pin còn dùng được lâu và chơi game mượt hết chỗ chê.","Chụp đẹp, không còn gì phải chê, nói chung tốt trong tầm giá. Ngoài ra pin còn trâu và game mượt hết chỗ chê.","Chụp đẹp ,không còn gì phải chê , nói chung tốt trong tầm giá. Ngoài ra pin còn trâu và game mượt hết chỗ chê ."
1951,"Máy dùng rất ok, mượt và nét căng. Tốc độ rất nhanh. Tuy nhiên pin mới sạc lần đầu nên cũng chưa rõ các lần sau có sạc nhanh hơn không. Quá ổn trong tầm giá.","Máy dùng rất ok, mượt và nét căng. Tốc độ rất nhanh. Tuy nhiên pin mới sạc lần đầu nên cũng chưa rõ các lần sau có sạc nhanh hơn không. Quá ổn trong tầm giá.","Máy dùng rất tốt, mượt và nét căng. Tốc độ rất nhanh. Tuy nhiên pin mới sạc lần đầu nên cũng chưa rõ các lần sau có sạc nhanh hơn không. Quá ổn trong tầm giá.","Máy dùng rất ok, mượt và nét căng. Tốc độ rất nhanh. Tuy nhiên pin mới sạc lần đầu nên cũng chưa rõ các lần sau có sạc nhanh hơn không. Quá ổn trong tầm giá.","Máy dùng rất ok, mượt và nét căng. Tốc độ rất nhanh. Tuy nhiên pin mới sạc lần đầu nên cũng chưa rõ các lần sau có sạc nhanh hơn không. Quá ổn trong tầm giá."
1952,"Đã mua và đã hoàn mất 20% ngay và luôn. Máy xấu ỉn dày cui, màn hình cực kỳ xấu xí chất lượng kém, xài bị hoa mắt đau đầu chóng mặt.","Đã mua và đã hoàn mất 20% ngay và luôn. Máy xấu ỉn, dày cui, màn hình cực kỳ xấu xí chất lượng kém, xài bị hoa mắt đau đầu chóng mặt.","Đã mua và đã hoàn mất 20% ngay và luôn. Máy xấu ỉn dày cui, màn hình cực kỳ xấu xí chất lượng kém, xài bị hoa mắt đau đầu chóng mặt.","Đã mua và đã hoàn mất 20% ngay và luôn. Máy xấu ỉn, dày cui, màn hình cực kỳ xấu xí chất lượng kém, xài bị hoa mắt đau đầu chóng mặt.","Đã mua và đã hoàn mất 20% ngay và luôn. Máy xấu xí dày cui, màn hình cực kỳ xấu xí chất lượng kém, xài bị hoa mắt đau đầu chóng mặt."
1953,Máy màu xanh lá đậm khá oke.chup ảnh biết canh góc là bao đẹp. Pin xài mượt 4000 mà đc 1 ngày rưỡi .  Sạc nhanh tầm hơn 2 tiếng chút. Cảm biến vân tay các kiểu... nói chung tầm này thì A10s là quá tuyệt vời hợp giá hợp lí. Thêm nv tư vấn nhiệt tình.  Àh và Máy mới bán ra mấy ngày nên chưa mua đc ốp lưng.,"Máy màu xanh lá đậm khá ok. Chụp ảnh biết canh góc là bao đẹp. Pin xài mượt 4000mAh mà được 1 ngày rưỡi.  Sạc nhanh tầm hơn 2 tiếng chút. Cảm biến vân tay các kiểu... nói chung tầm này thì A10s là quá tuyệt vời, hợp giá, hợp lý. Thêm nhân viên tư vấn nhiệt tình.  À và máy mới bán ra mấy ngày nên chưa mua được ốp lưng.",Máy màu xanh lá đậm khá đươc. Chụp ảnh biết canh góc là rất đẹp. Pin xài mượt 4000 mà được 1 ngày rưỡi.  Sạc nhanh tầm hơn 2 tiếng chút. Cảm biến vân tay các kiểu. Nói chung tầm này thì A10s là quá tuyệt vời hợp giá hợp lí. Thêm nhân viên tư vấn nhiệt tình. Àh và máy mới bán ra mấy ngày nên chưa mua được ốp lưng.,Máy màu xanh lá đậm khá ok. Chup ảnh biết canh góc là bao đẹp. Pin xài mượt 4000mAh mà được 1 ngày rưỡi. Sạc nhanh tầm hơn 2 tiếng chút. Cảm biến vân tay các kiểu... nói chung tầm này thì A10s là quá tuyệt vời hợp giá hợp lí. Thêm nhân viên tư vấn nhiệt tình. À và máy mới bán ra mấy ngày nên chưa mua được ốp lưng.,Máy màu xanh lá đậm khá oke.chup ảnh biết canh góc là bao đẹp. Pin xài mượt 4000 mà được 1 ngày rưỡi .  Sạc nhanh tầm hơn 2 tiếng chút. Cảm biến vân tay các kiểu... nói chung tầm này thì A10s là quá tuyệt vời hợp giá hợp lí. Thêm nhân viên tư vấn nhiệt tình.  À và Máy mới bán ra mấy ngày nên chưa mua đc ốp lưng.
1954,"Máy ổn mà các bạn, bạn nào chê pin yếu thì mình hướng dẫn các bạn vào cài đặt sim và mạng đi động, Tắt chế độ LTE VoiCe là ok ạ! Mỗi khi thay sim khác vô là nó tự bật! Các bạn tắt đi là pin sẽ k tự sụt nhanh nữa ak","Máy ổn mà các bạn, bạn nào chê pin yếu thì mình hướng dẫn các bạn vào cài đặt sim và mạng đi động, tắt chế độ LTE VoLCe là ok ạ! Mỗi khi thay sim khác vô là nó tự bật! Các bạn tắt đi là pin sẽ không tự sụt nhanh nữa ạ","Máy ổn mà các bạn, bạn nào chê pin yếu thì mình hướng dẫn các bạn vào cài đặt sim và mạng đi động, Tắt chế độ LTE Voice là được ạ! Mỗi khi thay sim khác vô là nó tự bật! Các bạn tắt đi là pin sẽ không tự sụt nhanh nữa à","Máy ổn mà các bạn, bạn nào chê pin yếu thì mình hướng dẫn các bạn vào cài đặt sim và mạng đi động, tắt chế độ VoLTE là ok ạ! Mỗi khi thay sim khác vô là nó tự bật! Các bạn tắt đi là pin sẽ không tự sụt nhanh nữa á","Máy ổn mà các bạn, bạn nào chê pin yếu thì mình hướng dẫn các bạn vào cài đặt sim và mạng đi động, Tắt chế độ LTE VoiCe là ok ạ! Mỗi khi thay sim khác vô là nó tự bật! Các bạn tắt đi là pin sẽ không tự sụt nhanh nữa á"
1955,Cho 5 sao vì nhân viên phục vụ rất tốt vui vẻ địa chỉ châu thành thị trấn ngã sáu góp ý rằng mua máy dã dc 2 tuần. sử dụng khá mượt nhưng chỉ số viên pin 5k mà cảm thấy nó chỉ ngang pin 4k có khi còn thua nữa phần còn lại thì OK ko có gì bất ổn,"Cho 5 sao vì nhân viên phục vụ rất tốt vui vẻ, địa chỉ Châu Thành, thị trấn ngã sáu góp ý rằng mua máy đã được 2 tuần. Sử dụng khá mượt nhưng chỉ số viên pin 5k mà cảm thấy nó chỉ ngang pin 4k, có khi còn thua nữa. Phần còn lại thì OK, ko có gì bất ổn","Cho 5 sao vì nhân viên phục vụ rất tốt vui vẻ, địa chỉ ở Châu Thành, thị trấn ngã Sáu. Góp ý rằng mua máy đã được 2 tuần, sử dụng khá mượt, nhưng chỉ số viên pin 5000 mà cảm thấy nó chỉ ngang pin 4000, có khi còn thua nữa. Phần còn lại thì được, không có gì bất ổn",Cho 5 sao vì nhân viên phục vụ rất tốt vui vẻ. Địa chỉ Châu Thành thị trấn Ngã Sáu. Góp ý rằng mua máy dã được 2 tuần. Sử dụng khá mượt nhưng chỉ số viên pin 5k mà cảm thấy nó chỉ ngang pin 4k có khi còn thua nữa phần còn lại thì ok không có gì bất ổn,Cho 5 sao vì nhân viên phục vụ rất tốt vui vẻ địa chỉ châu thành thị trấn ngã sáu góp ý rằng mua máy đã được 2 tuần. sử dụng khá mượt nhưng chỉ số viên pin 5k mà cảm thấy nó chỉ ngang pin 4k có khi còn thua nữa phần còn lại thì OK không có gì bất ổn
1956,"Làm sao để mở lại loa đây shop ơi
Tự dưng nó tắt không biết cách mở lại lô báo thức
Mong shop tư vấn giúp
Tks ạ","Làm sao để mở lại loa đây shop ơi
Tự dưng nó tắt không biết cách mở lại loa báo thức
Mong shop tư vấn giúp
Thanks ạ","Làm sao để mở lại loa đây shop ơi
Tự dưng nó tắt không biết cách mở lại loa báo thức
Mong shop tư vấn giúp
Cảm ơn ạ","Làm sao để mở lại loa đây shop ơi
Tự dưng nó tắt không biết cách mở lại lô báo thức
Mong shop tư vấn giúp
Cảm ơn ạ","Làm sao để mở lại loa đây shop ơi
Tự dưng nó tắt không biết cách mở lại lô báo thức
Mong shop tư vấn giúp
Tks ạ"
